FNo,ObjectCount,Time,Type,Boxes
865,0,0.0,NA,NA
866,0,0.0,NA,NA
867,0,0.0,NA,NA
868,0,0.0,NA,NA
869,0,0.0,NA,NA
870,0,0.0,NA,NA
871,0,0.0,NA,NA
872,0,0.0,NA,NA
873,0,0.0,NA,NA
874,1,128.393,['Sedan'],"[[(118, 180), (293, 358)]]"
875,1,156.153,['Sedan'],"[[(119, 174), (279, 360)]]"
876,0,0.0,NA,NA
877,1,174.013,['Sedan'],"[[(119, 178), (236, 360)]]"
878,1,123.048,['Hatchback'],"[[(118, 177), (230, 360)]]"
879,1,143.499,['Hatchback'],"[[(120, 172), (219, 354)]]"
880,1,163.477,['Hatchback'],"[[(117, 175), (201, 342)]]"
881,1,110.962,['Hatchback'],"[[(119, 172), (188, 331)]]"
882,1,121.182,['Hatchback'],"[[(118, 177), (169, 315)]]"
883,1,122.99499999999999,['Hatchback'],"[[(117, 175), (157, 296)]]"
884,1,150.269,['Hatchback'],"[[(116, 176), (143, 274)]]"
885,1,151.504,['Hatchback'],"[[(117, 176), (119, 262)]]"
886,1,149.72,['Hatchback'],"[[(117, 174), (108, 242)]]"
887,1,151.224,['Hatchback'],"[[(118, 180), (89, 235)]]"
888,1,150.042,['Hatchback'],"[[(119, 174), (76, 212)]]"
889,1,140.76500000000001,['Hatchback'],"[[(122, 177), (61, 200)]]"
890,1,124.998,['Hatchback'],"[[(120, 178), (25, 193)]]"
891,1,130.998,['Hatchback'],"[[(118, 175), (26, 167)]]"
892,1,174.363,['Hatchback'],"[[(116, 176), (7, 154)]]"
893,1,216.931,['Hatchback'],"[[(119, 173), (4, 133)]]"
894,1,169.963,['Hatchback'],"[[(114, 174), (0, 124)]]"
895,1,118.975,['Hatchback'],"[[(115, 174), (0, 105)]]"
896,1,123.20100000000001,['Hatchback'],"[[(111, 176), (0, 86)]]"
897,1,116.039,['Hatchback'],"[[(115, 178), (0, 69)]]"
898,1,130.582,['Sedan'],"[[(102, 180), (0, 59)]]"
899,0,0.0,NA,NA
900,0,0.0,NA,NA
901,0,0.0,NA,NA
902,0,0.0,NA,NA
903,0,0.0,NA,NA
904,0,0.0,NA,NA
905,0,1.0,NA,NA
906,0,1.001,NA,NA
907,0,0.0,NA,NA
908,0,0.0,NA,NA
909,0,0.0,NA,NA
910,0,0.0,NA,NA
911,0,0.0,NA,NA
912,0,0.0,NA,NA
913,0,0.0,NA,NA
914,0,0.0,NA,NA
915,0,0.0,NA,NA
916,0,0.0,NA,NA
917,0,0.0,NA,NA
918,0,0.0,NA,NA
919,0,0.0,NA,NA
920,0,0.0,NA,NA
921,0,1.001,NA,NA
922,0,0.0,NA,NA
923,0,0.0,NA,NA
924,0,0.0,NA,NA
925,0,0.0,NA,NA
926,0,0.0,NA,NA
927,0,0.0,NA,NA
928,0,0.0,NA,NA
929,0,0.0,NA,NA
930,0,0.0,NA,NA
931,1,147.14,['Sedan'],"[[(113, 164), (319, 360)]]"
932,1,115.88900000000001,['Sedan'],"[[(110, 171), (303, 357)]]"
933,1,105.59100000000001,['Hatchback'],"[[(110, 171), (292, 360)]]"
934,1,145.068,['Hatchback'],"[[(111, 170), (273, 359)]]"
935,1,150.925,['Hatchback'],"[[(114, 168), (258, 360)]]"
936,1,151.08599999999998,['Hatchback'],"[[(108, 173), (243, 358)]]"
937,1,120.882,['Hatchback'],"[[(112, 173), (231, 360)]]"
938,1,127.45200000000001,['Hatchback'],"[[(109, 172), (209, 356)]]"
939,1,132.995,['Hatchback'],"[[(110, 170), (198, 346)]]"
940,1,149.541,['Sedan'],"[[(110, 174), (176, 332)]]"
941,1,120.639,['Sedan'],"[[(111, 171), (173, 315)]]"
942,2,232.00799999999998,"['Sedan', 'Sedan']","[[(182, 255), (0, 79)], [(112, 172), (153, 300)]]"
943,2,323.22200000000004,"['Sedan', 'Sedan']","[[(183, 255), (0, 93)], [(112, 169), (142, 282)]]"
944,2,258.375,"['Sedan', 'Sedan']","[[(155, 259), (0, 116)], [(108, 171), (124, 271)]]"
945,2,265.483,"['Sedan', 'Sedan']","[[(162, 253), (0, 135)], [(109, 169), (109, 253)]]"
946,2,239.0,"['Sedan', 'Hatchback']","[[(193, 252), (0, 150)], [(108, 171), (76, 249)]]"
947,2,274.028,"['Sedan', 'Sedan']","[[(194, 252), (0, 172)], [(114, 165), (80, 219)]]"
948,2,354.018,"['Hatchback', 'Sedan']","[[(193, 252), (2, 192)], [(111, 167), (62, 209)]]"
949,2,360.23199999999997,"['Hatchback', 'Hatchback']","[[(192, 254), (22, 208)], [(117, 166), (48, 191)]]"
950,2,345.119,"['Sedan', 'Hatchback']","[[(113, 169), (38, 174)], [(193, 251), (40, 222)]]"
951,2,271.836,"['Sedan', 'Sedan']","[[(195, 254), (55, 246)], [(109, 169), (19, 156)]]"
952,2,297.234,"['Hatchback', 'Hatchback']","[[(177, 259), (77, 267)], [(109, 167), (6, 143)]]"
953,2,303.054,"['Hatchback', 'Sedan']","[[(174, 261), (90, 283)], [(110, 168), (0, 130)]]"
954,2,316.954,"['Hatchback', 'Sedan']","[[(173, 261), (122, 293)], [(106, 170), (0, 122)]]"
955,2,395.995,"['Hatchback', 'Sedan']","[[(198, 255), (133, 325)], [(107, 168), (0, 103)]]"
956,2,342.058,"['Hatchback', 'Hatchback']","[[(175, 260), (149, 339)], [(106, 168), (0, 81)]]"
957,2,314.768,"['Hatchback', 'Hatchback']","[[(172, 266), (184, 347)], [(106, 168), (0, 70)]]"
958,2,291.997,"['Hatchback', 'Sedan']","[[(103, 168), (3, 50)], [(198, 257), (190, 360)]]"
959,1,154.001,['Sedan'],"[[(192, 252), (218, 357)]]"
960,1,119.999,['Hatchback'],"[[(189, 255), (241, 356)]]"
961,1,215.998,['Hatchback'],"[[(187, 256), (252, 360)]]"
962,1,188.29199999999997,['Hatchback'],"[[(185, 259), (268, 358)]]"
963,1,172.05599999999998,['Sedan'],"[[(181, 262), (291, 356)]]"
964,0,0.0,NA,NA
965,0,0.0,NA,NA
966,0,0.0,NA,NA
967,0,0.0,NA,NA
968,0,0.0,NA,NA
969,0,0.0,NA,NA
970,0,0.0,NA,NA
971,0,0.0,NA,NA
972,0,0.0,NA,NA
973,0,0.0,NA,NA
974,0,0.0,NA,NA
975,0,0.0,NA,NA
976,0,0.0,NA,NA
977,0,0.0,NA,NA
978,0,0.0,NA,NA
979,0,0.0,NA,NA
980,0,0.0,NA,NA
981,0,0.0,NA,NA
982,0,0.0,NA,NA
983,0,0.0,NA,NA
984,0,0.0,NA,NA
985,0,0.0,NA,NA
986,0,0.0,NA,NA
987,0,0.0,NA,NA
988,0,0.0,NA,NA
989,0,0.0,NA,NA
990,0,0.0,NA,NA
991,0,0.0,NA,NA
992,0,0.0,NA,NA
993,0,0.0,NA,NA
994,0,0.0,NA,NA
995,0,0.0,NA,NA
996,0,0.0,NA,NA
997,0,0.0,NA,NA
998,0,0.0,NA,NA
999,0,0.0,NA,NA
1000,0,0.0,NA,NA
1001,0,0.0,NA,NA
1002,0,0.0,NA,NA
1003,0,0.0,NA,NA
1004,0,0.0,NA,NA
1005,0,0.0,NA,NA
1006,0,0.0,NA,NA
1007,0,0.0,NA,NA
1008,0,0.0,NA,NA
1009,0,0.0,NA,NA
1010,0,0.0,NA,NA
1011,0,0.0,NA,NA
1012,0,0.0,NA,NA
1013,0,0.0,NA,NA
1014,0,0.0,NA,NA
1015,0,0.0,NA,NA
1016,0,0.0,NA,NA
1017,0,0.0,NA,NA
1018,0,0.0,NA,NA
1019,0,0.0,NA,NA
1020,0,0.0,NA,NA
1021,0,0.0,NA,NA
1022,0,0.0,NA,NA
1023,0,0.023,NA,NA
1024,0,0.0,NA,NA
1025,0,0.0,NA,NA
1026,0,0.0,NA,NA
1027,0,0.0,NA,NA
1028,0,0.0,NA,NA
1029,0,0.0,NA,NA
1030,0,0.0,NA,NA
1031,0,0.0,NA,NA
1032,0,0.0,NA,NA
1033,0,0.0,NA,NA
1034,0,0.0,NA,NA
1035,0,0.0,NA,NA
1036,0,0.0,NA,NA
1037,0,0.0,NA,NA
1038,0,0.0,NA,NA
1039,0,0.0,NA,NA
1040,0,0.0,NA,NA
1041,1,171.393,['Hatchback'],"[[(119, 181), (309, 358)]]"
1042,0,1.0,NA,NA
1043,1,187.815,['Sedan'],"[[(109, 178), (274, 359)]]"
1044,1,181.596,['Sedan'],"[[(113, 178), (261, 360)]]"
1045,1,151.64600000000002,['Hatchback'],"[[(111, 181), (240, 360)]]"
1046,1,180.625,['Hatchback'],"[[(119, 181), (227, 358)]]"
1047,1,197.259,['Hatchback'],"[[(126, 177), (210, 359)]]"
1048,1,212.578,['Hatchback'],"[[(119, 182), (180, 348)]]"
1049,1,153.756,['Hatchback'],"[[(120, 180), (181, 332)]]"
1050,1,204.083,['Hatchback'],"[[(119, 182), (152, 322)]]"
1051,1,264.68199999999996,['Hatchback'],"[[(122, 181), (125, 301)]]"
1052,1,202.36599999999999,['Hatchback'],"[[(124, 177), (125, 277)]]"
1053,1,186.038,['Hatchback'],"[[(118, 183), (97, 270)]]"
1054,1,152.311,['Hatchback'],"[[(118, 181), (80, 242)]]"
1055,1,175.394,['Hatchback'],"[[(121, 180), (68, 229)]]"
1056,1,164.972,['Hatchback'],"[[(119, 181), (39, 224)]]"
1057,1,171.98,['Hatchback'],"[[(120, 183), (35, 199)]]"
1058,1,181.84,['Hatchback'],"[[(123, 178), (17, 184)]]"
1059,1,143.66899999999998,['Hatchback'],"[[(116, 179), (0, 163)]]"
1060,1,204.58399999999997,['Hatchback'],"[[(120, 180), (0, 145)]]"
1061,1,222.492,['Hatchback'],"[[(113, 177), (0, 127)]]"
1062,1,151.562,['Hatchback'],"[[(124, 180), (0, 107)]]"
1063,1,142.278,['Hatchback'],"[[(115, 182), (0, 97)]]"
1064,1,161.831,['Hatchback'],"[[(111, 182), (0, 76)]]"
1065,1,214.659,['Sedan'],"[[(105, 181), (0, 62)]]"
1066,0,0.0,NA,NA
1067,0,0.0,NA,NA
1068,0,0.0,NA,NA
1069,0,0.0,NA,NA
1070,0,0.0,NA,NA
1071,0,0.0,NA,NA
1072,0,0.0,NA,NA
